transactionid,saledate,customerid,productid,storeid,campaignid,saleamount,bonuspoints,paymenttype,DiscountPercent,FulfillmentType,IsRepeatCustomer,AnomalyFlag
550,2024-01-06,1008,102,404,0,39.1,50,Cash,0,POS,TRUE,FALSE
551,2024-01-06,1009,105,403,0,19.78,20,Debit,0,POS,TRUE,FALSE
552,2024-01-16,1004,107,404,0,335.1,50,Credit,0,Endless Aisle,TRUE,FALSE
553,2024-01-16,1006,102,406,0,195.5,70,Cash,0,Endless Aisle,TRUE,FALSE
554,2024-01-25,1005,102,405,0,117.3,0,Cash,0,Endless Aisle,TRUE,FALSE
555,2024-01-25,1001,101,401,0,2379.36,30,Debit,0,Endless Aisle,TRUE,FALSE
556,2024-01-29,1009,104,403,0,172.4,40,Credit,0,Endless Aisle,TRUE,FALSE
557,2024-01-29,1010,101,402,0,3172.48,0,Cash,0,POS,FALSE,FALSE
558,2024-02-06,1002,102,402,0,312.8,100,Debit,0,Endless Aisle,TRUE,FALSE
559,2024-02-06,1001,106,401,0,622.86,70,Credit,0,POS,FALSE,FALSE
560,2024-02-06,1010,101,402,0,6344.96,50,Cash,0,POS,FALSE,FALSE
561,2024-02-06,1005,107,405,0,469.14,20,Debit,0,POS,FALSE,FALSE
562,2024-02-08,1003,108,403,0,12.56,50,Credit,0,Endless Aisle,TRUE,FALSE
563,2024-02-08,1006,107,406,0,67.02,70,Cash,0,Endless Aisle,TRUE,FALSE
564,2024-02-09,1009,107,403,0,469.14,60,Debit,0,Endless Aisle,TRUE,FALSE
565,2024-02-09,1002,105,402,0,138.46,30,Credit,0,Endless Aisle,TRUE,FALSE
566,2024-02-24,1007,103,405,0,204.84,40,Cash,0,Endless Aisle,TRUE,FALSE
567,2024-02-24,1007,106,405,0,444.9,20,Debit,0,POS,TRUE,FALSE
568,2024-02-24,1011,107,401,0,603.18,100,Credit,0,POS,TRUE,FALSE
569,2024-02-24,1010,101,402,0,3965.6,70,Cash,0,POS,FALSE,FALSE
570,2024-02-27,1010,107,402,0,402.12,50,Debit,0,POS,FALSE,FALSE
571,2024-02-27,1011,106,401,0,533.88,20,Credit,0,POS,TRUE,FALSE
572,2024-03-20,1005,105,405,0,178.02,50,Cash,0,POS,TRUE,FALSE
573,2024-03-20,1001,101,401,0,7138.08,70,Debit,0,Endless Aisle,TRUE,FALSE
574,2024-03-25,1006,101,406,0,4758.72,60,Credit,0,Endless Aisle,TRUE,FALSE
575,2024-03-25,1001,108,401,0,75.36,30,Cash,0,Endless Aisle,TRUE,FALSE
576,2024-04-07,1001,108,401,0,113.04,40,Debit,0,Endless Aisle,TRUE,FALSE
577,2024-04-07,1005,104,405,0,387.9,20,Credit,0,Endless Aisle,TRUE,FALSE
578,2024-04-10,1006,106,406,0,800.82,100,Cash,0,Endless Aisle,TRUE,FALSE
579,2024-04-10,1008,106,404,0,800.82,70,Debit,0,Endless Aisle,TRUE,FALSE
580,2024-04-11,1004,103,404,0,22.76,50,Credit,0,Endless Aisle,TRUE,FALSE
581,2024-04-11,1009,101,403,0,793.12,20,Cash,0,POS,TRUE,FALSE
582,2024-04-19,1001,101,401,0,6344.96,50,Debit,0,POS,FALSE,FALSE
583,2024-04-19,1009,102,403,0,312.8,70,Credit,0,POS,TRUE,FALSE
584,2024-04-27,1007,101,405,0,7138.08,60,Cash,0,Endless Aisle,TRUE,FALSE
585,2024-04-27,1002,108,402,0,113.04,30,Debit,0,Endless Aisle,TRUE,FALSE
586,2024-04-30,1001,105,401,0,39.56,40,Credit,0,Endless Aisle,TRUE,FALSE
587,2024-04-30,1007,102,405,0,78.2,20,Cash,0,POS,TRUE,FALSE
588,2024-05-02,1002,102,402,0,117.3,100,Debit,0,POS,TRUE,FALSE
589,2024-05-02,1007,102,405,0,117.3,70,Credit,0,POS,TRUE,FALSE
590,2024-05-08,1005,107,405,1,603.18,50,Cash,0,POS,FALSE,FALSE
591,2024-05-08,1004,101,404,1,7138.08,20,Debit,0,POS,FALSE,FALSE
592,2024-05-17,1006,107,406,1,670.2,50,Credit,0,Endless Aisle,TRUE,FALSE
593,2024-05-17,1008,104,404,1,431,70,Cash,0,POS,TRUE,FALSE
594,2024-05-19,1003,101,403,1,1586.24,60,Debit,0,Endless Aisle,TRUE,FALSE
595,2024-05-19,1006,108,406,1,25.12,30,Credit,0,POS,TRUE,FALSE
596,2024-05-29,1011,105,401,0,98.9,40,Cash,0,POS,TRUE,FALSE
597,2024-05-29,1008,102,404,0,195.5,20,Debit,0,Endless Aisle,TRUE,FALSE
598,2024-06-06,1001,104,401,0,387.9,100,Credit,0,POS,TRUE,FALSE
599,2024-06-06,1004,102,404,0,351.9,70,Cash,0,Endless Aisle,TRUE,FALSE
600,2024-06-12,1010,103,402,0,182.08,50,Debit,0,POS,TRUE,FALSE
601,2024-06-12,1005,106,405,0,711.84,20,Credit,0,Endless Aisle,TRUE,FALSE
602,2024-06-17,1007,101,405,0,2379.36,50,Cash,0,Endless Aisle,TRUE,FALSE
603,2024-06-17,1006,101,406,0,2379.36,70,Debit,0,Endless Aisle,TRUE,FALSE
604,2024-06-20,1009,102,403,0,39.1,60,Credit,0,Endless Aisle,TRUE,FALSE
