TransactionID,SaleDate,CustomerID,ProductID,StoreID,CampaignID,SaleAmount,BonusPoints,PaymentType
550,1/6/2024,1008,102,404,0,39.1,50,Cash
551,1/6/2024,1009,105,403,0,19.78,20,Debit
552,1/16/2024,1004,107,404,0,335.1,50,Credit
553,1/16/2024,1006,102,406,0,195.5,70,Cash
554,1/25/2024,1005,102,405,0,117.3,,Cash
555,1/25/2024,1001,101,401,0,2379.36,30,Debit
556,1/29/2024,1009,104,403,0,172.4,40,Credit
557,1/29/2024,1010,101,402,0,3172.48,-10,Cash
558,2/6/2024,1002,102,402,0,312.8,100,Dbit
559,2/6/2024,1001,106,401,0,622.86,70,Credit
560,2/6/2024,1010,101,402,0,6344.96,50,Cash
561,2/6/2024,1005,107,405,0,469.14,20,Debit
562,2/8/2024,1003,108,403,0,12.56,50,Credit
563,2/8/2024,1006,107,406,0,67.02,70,Cash
564,2/9/2024,1009,107,403,0,469.14,60,Debit
565,2/9/2024,1002,105,402,0,138.46,30,Credit
566,2/24/2024,1007,103,405,0,204.84,40,Cash
567,2/24/2024,1007,106,405,0,444.9,20,Dbit
568,2/24/2024,1011,107,401,0,603.18,100,Credit
569,2/24/2024,1010,101,402,0,3965.6,70,Cash
570,2/27/2024,1010,107,402,0,402.12,50,Debit
571,2/27/2024,1011,106,401,0,533.88,20,Credit
572,3/20/2024,1005,105,405,0,178.02,50,Cash
573,3/20/2024,1001,101,401,0,7138.08,70,Dbit
574,3/25/2024,1006,101,406,0,4758.72,60,Credit
575,3/25/2024,1001,108,401,0,75.36,30,Cash
576,4/7/2024,1001,108,401,0,113.04,40,Debit
576,4/7/2024,1001,108,401,0,113.04,40,Debit
577,4/7/2024,1005,104,405,0,387.9,20,Credit
578,4/10/2024,1006,106,406,0,800.82,100,Cash
579,4/10/2024,1008,106,404,0,800.82,70,Debit
580,4/11/2024,1004,103,404,0,22.76,50,Credit
581,4/11/2024,1009,101,403,0,793.12,20,Cash
582,4/19/2024,1001,101,401,0,6344.96,50,Debit
583,4/19/2024,1009,102,403,0,312.8,70,Credit
584,4/27/2024,1007,101,405,0,7138.08,60,Cash
585,4/27/2024,1002,108,402,0,113.04,30,Debit
586,4/30/2024,1001,105,401,0,39.56,40,Credit
587,4/30/2024,1007,102,405,0,78.2,20,Cash
588,5/2/2024,1002,102,402,0,117.3,100,Debit
589,5/2/2024,1007,102,405,0,117.3,70,Credit
590,5/8/2024,1005,107,405,1,603.18,50,Cash
591,5/8/2024,1004,101,404,1,7138.08,20,Debit
592,5/17/2024,1006,107,406,1,670.2,50,Credit
593,5/17/2024,1008,104,404,1,431,70,Cash
594,5/19/2024,1003,101,403,1,1586.24,60,Debit
595,5/19/2024,1006,108,406,1,25.12,30,Credit
596,5/29/2024,1011,105,401,0,98.9,40,Cash
597,5/29/2024,1008,102,404,0,195.5,20,Debit
598,6/6/2024,1001,104,401,0,387.9,100,Credit
599,6/6/2024,1004,102,404,0,351.9,70,Cash
600,6/12/2024,1010,103,402,0,182.08,50,Debit
601,6/12/2024,1005,106,405,0,711.84,20,Credit
602,6/17/2024,1007,101,405,0,2379.36,50,Cash
603,6/17/2024,1006,101,406,0,2379.36,70,Debit
604,6/20/2024,1009,102,403,0,39.1,60,Credit
605,6/20/2024,1002,108,402,0,12.56,30,Cash
606,7/2/2024,1005,105,405,0,79.12,40,Debit
607,7/2/2024,1011,108,401,0,50.24,20,Credit
608,7/4/2024,1003,102,403,0,39.1,100,Cash
609,7/4/2024,1004,101,404,0,3965.6,70,Debit
610,7/4/2024,1010,106,402,0,88.98,50,Credit
611,7/4/2024,1006,102,406,0,195.5,20,Cash
612,7/7/2024,1003,104,403,2,258.6,50,Debit
613,7/7/2024,1003,104,403,2,258.6,70,Credit
614,7/15/2024,1011,101,401,2,7138.08,60,Cash
615,7/15/2024,1010,104,402,2,387.9,30,Debit
616,7/17/2024,1001,107,401,2,134.04,40,Credit
617,7/17/2024,1003,107,403,2,134.04,20,Cash
618,7/21/2024,1001,104,401,2,172.4,100,Debit
619,7/21/2024,1008,105,404,2,79.12,70,Credit
620,7/25/2024,1007,108,405,0,125.6,50,Cash
621,7/25/2024,1010,101,402,0,7931.2,20,Debit
622,8/1/2024,1003,108,403,0,100.48,50,Credit
623,8/1/2024,1002,107,402,0,536.16,70,Cash
624,8/2/2024,1011,108,401,0,125.6,60,Debit
625,8/2/2024,1002,108,402,0,125.6,30,Credit
626,8/5/2024,1003,108,403,0,37.68,40,Cash
627,8/5/2024,1006,104,406,0,129.3,20,Debit
628,8/14/2024,1011,107,401,0,201.06,100,Credit
629,8/14/2024,1006,101,406,0,2379.36,70,Cash
630,8/21/2024,1007,104,405,0,172.4,50,Debit
631,8/21/2024,1002,107,402,0,268.08,20,Credit
632,8/25/2024,1006,108,406,0,75.36,50,Cash
633,8/25/2024,1002,104,402,0,258.6,70,Debit
634,8/28/2024,1006,105,406,0,39.56,60,Credit
635,8/28/2024,1005,106,405,0,177.96,30,Cash
636,9/5/2024,1005,107,405,3,1072.32,40,Debit
637,9/5/2024,1007,107,405,3,1072.32,-20,Credit
638,9/22/2024,1001,101,401,3,6344.96,100,Cash
639,9/22/2024,1007,104,405,3,689.6,70,Debit
640,9/30/2024,1005,107,405,3,268.08,70,
641,9/30/2024,1010,103,402,3,45.52,60,Cash
642,10/10/2024,1002,101,402,0,5551.84,45,Debit
643,10/10/2024,1010,104,402,0,301.7,30,
638,9/22/2024,1001,101,401,3,6344.96,100,Cash
